"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code"
"104931-2330062","536","Grady Road and Steele Drive","GRAD536","30.484729","-84.288995","","","0","","","1","",""
"104931-2330063","537","Henderson Road and Grady Road","HEND537","30.486055","-84.287544","","","0","","","1","",""
"104931-2330064","538","Grady Road and Thomas Road","GRAD538","30.488518","-84.286242","","","0","","","1","",""
"104931-2330065","543","231 Bermuda Road","BERM543","30.489594","-84.283553","","","0","","","1","",""
"104931-2330066","545","Bermuda Road and N Meridian Street","BERM545","30.489729","-84.277517","","","0","","","0","",""
"104931-2330067","547","Henderson Road and N Meridian Street","HEND547","30.486152","-84.277927","","","0","","","1","",""
"104931-2330070","554","Village Square Boulevard","VILLAGE","30.511034","-84.250246","","","0","","","1","",""
"104931-2330071","555","Maclay Boulevard and Maclay Commerce Drive","MACL555","30.509135","-84.252755","","","0","","","1","",""
"104931-2330072","557","Maclay Boulevard and Market Street","MACL557","30.506907","-84.25206","","","0","","","1","",""
"104931-2330073","558","Market Street and Timberlane Road","MARK558","30.50583","-84.253891","","","0","","","1","",""
"104931-2330074","559","Timberlane Road and Thomasville Road Near Side","TIMB559","30.504629","-84.253221","","","0","","","1","",""
"104931-2330075","560","Thomasville Road and Sandhurst Drive","THOM560","30.488388","-84.255703","","","0","","","1","",""
"104931-2330076","562","Thomasville Road and Gardenia Drive","THOM562","30.475224","-84.26354","","","0","","","1","",""
"104931-2330077","563","Thomasville Road and E Bradford Road","SBTVLBFD","30.466797","-84.268533","","","0","","","1","",""
"104931-2330078","564","E Bradford Road and Thomasville Road","BRDTVLWB","30.466876","-84.269214","","","0","","","1","",""
"104931-2330079","565","E Bradford Road and Thomasville Road","BRDTVLEB","30.46679","-84.269389","","","0","","","1","",""
"104931-2330080","566","548 E Bradford Road","E BR566","30.467608","-84.273146","","","0","","","1","",""
"104931-2330081","568","548 E Bradford Road","E BR568","30.467488","-84.273226","","","0","","","1","",""
"104931-2330082","570","N Meridian Road at London Town Apartments","LNDTWNOB","30.469321","-84.277149","","","0","","","1","",""
"104931-2330083","571","N Meridian Road and South Ride","N ME571","30.472359","-84.277169","","","0","","","1","",""
"104931-2330084","576","W Carolina Street and N Monroe Street","W CA576","30.446849","-84.280913","","","0","","","1","",""
"104931-2330085","577","E Carolina Street and N Gadsden Street","E CA577","30.446868","-84.278411","","","0","","","1","",""
"104931-2330086","578","N Gadsden Street and E Brevard Street","N GA578","30.448992","-84.278301","","","0","","","0","",""
"104931-2330087","579","Gadsden Street and Ingleside Avenue","GAD INGS","30.454412","-84.276703","","","0","","","1","",""
"104931-2330088","581","N Gadsden Street and 6th Avenue","GADSD6TH","30.456191","-84.276449","","","0","","","1","",""
"104931-2330089","583","Thomasville Road and Grape Street","THOM583","30.461602","-84.273549","","","0","","","1","",""
"104931-2330090","585","Thomasville Road at Miracle Plaza","MIRPLZIB","30.463896","-84.271099","","","0","","","1","",""
"104931-2330091","586","Thomasville Road and Betton Road","NBTVLBET","30.466996","-84.267999","","","0","","","1","",""
"104931-2330092","593","N Meridian Road at Meridian Place Apartments","N ME593","30.469632","-84.277316","","","0","","","1","",""
"104931-2330093","597","Thomasville Road at E 5th Avenue Crosswalk","THOM597","30.453776","-84.278581","","","0","","","1","",""
"104931-2330094","600","Magnolia Drive and E Call Street","N MA600","30.443617","-84.261647","","","0","","","1","",""
"104931-2330096","602","E Tennessee Street and Culpepper Drive","TENWBCUL","30.447524","-84.263108","","","0","","","1","",""
"104931-2330097","605","Mahan Drive and Marys Drive","MAHA605","30.449886","-84.255709","","","0","","","1","",""
"104931-2330098","608","Mahan Drive and N Point Court","MAHA608","30.451324","-84.25277","","","0","","","1","",""
"104931-2330099","609","Mahan Drive and Ty Ty Road","MAHA609","30.452699","-84.247917","","","0","","","1","",""
"104931-2330100","611","Mahan Drive and Riggins Road","MAHRIGEB","30.456725","-84.236858","","","0","","","1","",""
